#Name,Association,Age (Myr),P (d), Rp (R_Earth),Rp_err (R_Earth),sma (AU),sma_err (AU),Iflux (Earth flux),Iflux_err (Earth flux),Mstar,Mstar_err,Rstar,Rstar_err,Teff,Teff_err
Kepler-1313 b,,,3.833091,1.722761,0.076811,0.046623,0.000507,264.773684,25.239204,0.92,0.03,0.85,0.03,5453.0,82.15
Kepler-1469 b,,,21.86353,2.74325,0.362109,0.148838,0.002696,29.628326,8.521884,0.92,0.05,0.89,0.12,5507.0,170.81
Kepler-1530 b,,,2.590443,1.602058,0.208487,0.035905,0.00052,487.002668,103.065909,0.92,0.04,0.88,0.09,5477.0,65.13
Kepler-1530 c,,,5.322741,1.613031,0.230433,0.058031,0.000841,186.430264,39.454824,0.92,0.04,0.88,0.09,5477.0,65.13
Kepler-1570 b,,,26.548955,1.042435,0.186541,0.169407,0.005524,23.592966,9.479902,0.92,0.09,0.89,0.15,5550.0,289.64
Kepler-1634 b,,,374.876239,3.127305,0.592542,0.989674,0.017929,0.654198,0.1652,0.92,0.05,0.89,0.1,5474.0,149.64
Kepler-1643 b,,,5.342645,2.249465,0.241406,0.058175,0.000843,189.740401,40.022971,0.92,0.05,0.88,0.09,5508.0,58.66
Kepler-409 b,,,68.9584,1.163138,0.032919,0.320105,0.006959,6.189585,0.515235,0.92,0.06,0.89,0.02,5460.0,75.0
Kepler-536 b,,,1.827082,3.039521,0.373082,0.028449,0.000515,821.002327,212.200323,0.92,0.06,0.89,0.11,5524.0,143.16
Kepler-553 b,,,4.030468,4.531849,0.175568,0.04821,0.000524,215.367981,18.253893,0.92,0.03,0.85,0.02,5266.0,88.28
Kepler-553 c,,,328.239955,10.962027,0.318217,0.905791,0.009846,0.610098,0.05171,0.92,0.03,0.85,0.02,5266.0,88.28
Kepler-587 b,,,10.940278,2.183627,0.625461,0.093811,0.00136,76.882634,21.284345,0.92,0.05,0.89,0.12,5549.0,77.03
Kepler-651 b,,,21.385215,2.315303,0.21946,0.146659,0.001594,29.478121,3.104054,0.92,0.04,0.87,0.04,5522.0,64.16
Kepler-682 b,,,12.611907,7.220234,0.757137,0.103139,0.001495,64.064812,13.65834,0.92,0.05,0.89,0.09,5559.0,84.63
Kepler-697 b,,,3.709871,4.038064,0.537677,0.045618,0.000826,309.694006,88.907611,0.92,0.06,0.88,0.12,5513.0,134.25
Kepler-723 b,,,4.082275,11.938624,1.547193,0.048622,0.000705,284.138203,78.604236,0.92,0.05,0.89,0.12,5539.0,85.21
Kepler-764 b,,,7.336839,1.602058,0.197514,0.071874,0.001302,131.731639,32.522837,0.92,0.05,0.89,0.1,5557.0,132.83
Kepler-775 b,,,0.974869,1.163138,0.043892,0.018715,0.000203,1622.450538,117.136464,0.92,0.03,0.84,0.02,5468.0,70.49
Kepler-832 b,,,7.139694,2.019032,0.318217,0.070581,0.001534,143.65372,48.829508,0.92,0.06,0.9,0.14,5596.0,181.65
Kepler-867 b,,,150.242127,4.542822,0.406001,0.537974,0.007797,2.430004,0.345493,0.92,0.04,0.91,0.06,5541.0,68.57
Kepler-969 b,,,34.173171,2.030005,0.043892,0.200458,0.001453,11.141883,0.495432,0.92,0.02,0.82,0.01,5214.0,44.63
Kepler-969 c,,,1.682935,0.965624,0.043892,0.026933,0.000195,617.233282,27.445754,0.92,0.02,0.82,0.01,5214.0,44.63
WASP-139 b,,,5.924262,8.7784,0.54865,0.062,0.002,119.253021,16.333185,0.92,0.1,0.8,0.04,5310.0,90.0
WASP-49 b,,,2.78174,12.18003,1.20703,0.037651,0.004093,588.076789,179.506706,0.92,0.3,0.97,0.09,5600.0,150.0
WASP-89 b,,,3.356423,11.41192,0.43892,0.0427,0.0012,265.017019,29.904064,0.92,0.08,0.88,0.03,5130.0,90.0
