#Name,Association,Age (Myr),P (d), Rp (R_Earth),Rp_err (R_Earth),sma (AU),sma_err (AU),Iflux (Earth flux),Iflux_err (Earth flux),Mstar,Mstar_err,Rstar,Rstar_err,Teff,Teff_err
2MASS J21402931+1625183 A b,,,7336.5,10.09516,4.27947,3.184152,0.796038,3.6e-05,3.5e-05,0.08,0.06,0.12,0.05,2300.0,80.0
TRAPPIST-1 b,,,1.510871,1.064381,0.032919,0.01111,0.00034,4.507235,0.447432,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 c,,,2.421823,1.031462,0.032919,0.01521,0.00047,2.404805,0.23961,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 d,,,4.04961,0.757137,0.032919,0.02144,0.00066,1.210288,0.120415,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 e,,,6.099615,0.899786,0.032919,0.02817,0.00087,0.701075,0.068622,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 f,,,9.20669,1.020489,0.032919,0.0371,0.0011,0.404195,0.039654,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 g,,,12.35294,1.108273,0.043892,0.0451,0.0014,0.273518,0.027301,0.08,0.01,0.12,0.0,2559.0,50.0
TRAPPIST-1 h,,,18.767,0.735191,0.032919,0.059557,0.002482,0.156847,0.01792,0.08,0.01,0.12,0.0,2559.0,50.0
Kepler-42 b,,,1.213767,0.76811,0.21946,0.011282,0.001446,18.124341,10.547432,0.13,0.05,0.17,0.04,3068.0,174.0
Kepler-42 c,,,0.453285,0.713245,0.197514,0.005851,0.00075,67.392905,39.219197,0.13,0.05,0.17,0.04,3068.0,174.0
Kepler-42 d,,,1.865169,0.559623,0.175568,0.015023,0.001926,10.220807,5.947983,0.13,0.05,0.17,0.04,3068.0,174.0
LP 791-18 b,,,0.948005,1.0973,0.131676,0.00969,0.00035,21.286872,5.437523,0.14,0.01,0.17,0.02,2960.0,55.0
LP 791-18 c,,,4.989963,2.260438,0.241406,0.029392,0.00105,2.313668,0.591387,0.14,0.01,0.17,0.02,2960.0,55.0
GJ 1214 b,,,1.580405,2.787142,0.197514,0.01411,0.00032,18.363766,4.091346,0.15,0.01,0.22,0.01,3026.0,150.0
LHS 3844 b,,,0.462929,1.272868,0.021946,0.00622,0.00017,71.421376,11.147288,0.15,0.01,0.19,0.01,3036.0,77.0
Kepler-445 b,,,2.984151,1.53622,0.21946,0.022906,0.001697,7.52223,2.487571,0.18,0.04,0.21,0.03,3157.0,60.0
Kepler-445 c,,,4.871229,2.41406,0.32919,0.031756,0.002352,3.913718,1.294251,0.18,0.04,0.21,0.03,3157.0,60.0
Kepler-445 d,,,8.15275,1.20703,0.21946,0.044764,0.003316,1.969558,0.651325,0.18,0.04,0.21,0.03,3157.0,60.0
LHS 1140 b,,,24.736959,1.689842,0.032919,0.0936,0.0024,0.485116,0.034244,0.18,0.01,0.21,0.0,3216.0,39.0
LHS 1140 c,,,3.777931,1.250922,0.021946,0.02675,0.0007,5.9395,0.423836,0.18,0.01,0.21,0.0,3216.0,39.0
Kepler-1649 b,,,8.68909,1.053408,0.142649,0.0514,0.0028,2.348705,0.813417,0.22,0.02,0.25,0.04,3240.0,61.0
Kepler-446 b,,,1.565409,1.42649,0.21946,0.015929,0.001207,26.035305,9.712705,0.22,0.05,0.24,0.04,3359.0,60.0
Kepler-446 c,,,3.036179,1.0973,0.21946,0.024774,0.001877,10.763742,4.015511,0.22,0.05,0.24,0.04,3359.0,60.0
Kepler-446 d,,,5.148921,1.31676,0.21946,0.035231,0.002669,5.322448,1.985587,0.22,0.05,0.24,0.04,3359.0,60.0
Kepler-1646 b,,,4.485584,1.20703,0.274325,0.033082,0.002757,6.591671,2.77818,0.24,0.06,0.26,0.05,3299.0,41.07
K2-28 b,,,2.260455,2.271411,0.230433,0.0214,0.0013,17.654143,4.436195,0.26,0.05,0.29,0.03,3214.0,60.0
K2-88 b,,,4.6122,1.20703,0.241406,0.0345,0.003,8.008358,3.483739,0.26,0.07,0.26,0.05,3537.0,93.0
LTT 1445 A b,,,5.35882,1.349679,0.131676,0.03807,0.00071,6.04324,1.404493,0.26,0.01,0.28,0.02,3337.0,150.0
K2-72 b,,,5.577212,1.053408,0.10973,0.04,0.005,7.819927,2.264286,0.27,0.09,0.33,0.03,3360.47,87.24
K2-72 c,,,15.189034,1.130219,0.131676,0.078,0.01,2.056523,0.567156,0.27,0.09,0.33,0.03,3360.47,87.24
K2-72 d,,,7.760178,0.98757,0.120703,0.05,0.006,5.004753,1.318837,0.27,0.09,0.33,0.03,3360.47,87.24
K2-72 e,,,24.158868,1.261895,0.131676,0.106,0.013,1.113553,0.300199,0.27,0.09,0.33,0.03,3360.47,87.24
Kepler-1582 b,,,4.838177,1.459409,0.164595,0.036628,0.001308,6.401051,0.987967,0.28,0.03,0.3,0.03,3208.0,24.62
K2-91 b,,,1.419549,1.075354,0.175568,0.0164,0.0011,45.197755,15.181283,0.29,0.06,0.28,0.04,3622.0,104.0
K2-9 b,,,18.4498,2.205573,0.943678,0.091,0.016,1.380811,1.084267,0.3,0.14,0.31,0.11,3390.0,150.0
L 98-59 b,,,2.25314,0.779083,0.043892,0.0233,0.0017,20.496453,4.902514,0.31,0.01,0.31,0.01,3367.0,150.0
L 98-59 c,,,3.690621,1.31676,0.076811,0.0324,0.0024,10.59987,2.510058,0.31,0.01,0.31,0.01,3367.0,150.0
L 98-59 d,,,7.45086,1.53622,0.131676,0.052,0.004,4.115133,1.004516,0.31,0.01,0.31,0.01,3367.0,150.0
K2-146 b,,,2.6446,2.008059,0.054865,0.025865,0.000261,19.254209,2.012361,0.33,0.01,0.33,0.01,3385.0,70.0
K2-146 c,,,4.00498,2.139735,0.065838,0.03411,0.000345,11.071468,1.157139,0.33,0.01,0.33,0.01,3385.0,70.0
K2-288 B b,,,31.393463,1.86541,0.296271,0.164,0.03,0.427379,0.225418,0.33,0.02,0.32,0.03,3341.0,276.0
Kepler-1650 b,,,1.53818,0.943678,0.10973,0.018022,0.00091,40.842496,11.056752,0.33,0.05,0.33,0.04,3410.0,56.0
Kepler-504 b,,,9.549275,1.558166,0.21946,0.060877,0.00123,4.05964,0.526293,0.33,0.02,0.33,0.02,3519.0,19.67
GJ 357 b,,,3.93072,1.196057,0.076811,0.035,0.002,12.831238,1.810477,0.34,0.01,0.34,0.01,3505.0,51.0
Kepler-560 b,,,18.477644,1.678869,0.087784,0.095476,0.001872,1.720993,0.227017,0.34,0.02,0.33,0.02,3556.0,30.41
K2-89 b,,,1.096026,0.603515,0.076811,0.01462,0.00051,80.108039,16.626707,0.35,0.04,0.32,0.03,3691.0,51.0
Kepler-1124 b,,,2.852349,1.250922,0.120703,0.027741,0.000528,24.230895,3.124375,0.35,0.02,0.34,0.02,3658.0,33.4
Kepler-1308 b,,,2.104338,0.504758,0.054865,0.02265,0.000863,29.36481,5.758291,0.35,0.04,0.34,0.03,3468.0,33.65
K2-129 b,,,8.239493,1.020489,0.098757,0.057,0.004,5.145143,1.144282,0.36,0.07,0.36,0.03,3459.09,89.05
K2-18 b,,,32.939623,2.315303,0.21946,0.1429,0.0065,1.059243,0.230031,0.36,0.05,0.41,0.04,3457.0,39.0
K2-242 b,,,6.51389,2.490871,0.208487,0.0494,0.0004,7.235133,0.680028,0.38,0.01,0.37,0.01,3459.0,65.0
K2-124 b,,,6.413651,2.842007,0.098757,0.049,0.002,9.270531,1.380219,0.39,0.04,0.39,0.02,3570.0,70.0
K2-239 b,,,5.24,1.075354,0.098757,0.0441,0.0008,8.213475,0.571764,0.4,0.01,0.36,0.01,3420.0,18.0
K2-239 c,,,7.775,0.976597,0.098757,0.0576,0.0009,4.814588,0.323195,0.4,0.01,0.36,0.01,3420.0,18.0
K2-239 d,,,10.115,1.075354,0.098757,0.0685,0.0012,3.404262,0.2348,0.4,0.01,0.36,0.01,3420.0,18.0
TOI 270 b,,,3.36008,1.218003,0.087784,0.0306,0.0057,18.262779,5.286563,0.4,0.02,0.38,0.02,3386.0,137.0
TOI 270 c,,,5.660172,2.370168,0.131676,0.0472,0.0033,7.675837,1.774307,0.4,0.02,0.38,0.02,3386.0,137.0
TOI 270 d,,,11.38014,2.08487,0.120703,0.0733,0.0042,3.182744,0.714567,0.4,0.02,0.38,0.02,3386.0,137.0
K2-54 b,,,9.7843,1.130219,0.186541,0.0671,0.0037,6.012245,1.858726,0.42,0.07,0.38,0.05,3798.0,113.0
K2-133 b,,,3.07133,1.31676,0.076811,0.03194,0.00026,33.349557,4.148198,0.46,0.01,0.46,0.02,3655.0,80.0
K2-133 c,,,4.86784,1.569139,0.087784,0.04341,0.00035,18.054286,2.245713,0.46,0.01,0.46,0.02,3655.0,80.0
K2-133 d,,,11.02454,1.964167,0.10973,0.07487,0.0006,6.069379,0.755024,0.46,0.01,0.46,0.02,3655.0,80.0
K2-133 e,,,26.5841,1.689842,0.131676,0.1346,0.0011,1.877888,0.233749,0.46,0.01,0.46,0.02,3655.0,80.0
K2-137 b,,,0.179715,0.866867,0.087784,0.0058,0.0006,770.976279,221.168615,0.46,0.05,0.44,0.04,3492.0,70.0
K2-150 b,,,10.59357,1.953194,0.263352,0.0727,0.0027,4.946602,1.049085,0.46,0.05,0.44,0.04,3499.0,70.0
Kepler-1439 b,,,8.073928,1.42649,0.208487,0.060806,0.001762,7.384123,1.508668,0.46,0.06,0.43,0.05,3578.0,54.92
Kepler-779 b,,,7.097142,0.899786,0.065838,0.055797,0.001213,11.731041,1.735665,0.46,0.03,0.44,0.03,3804.0,35.65
K2-14 b,,,8.36802,4.707417,0.406001,0.0627,0.0006,9.564958,0.493656,0.47,0.01,0.45,0.01,3789.0,17.0
K2-151 b,,,3.835476,1.459409,0.076811,0.0373,0.0002,24.4433,1.402103,0.47,0.01,0.45,0.01,3695.0,32.0
K2-71 b,,,6.98541,2.106816,0.318217,0.0559,0.0025,13.729407,3.876457,0.48,0.06,0.43,0.05,4006.0,133.0
K2-83 b,,,2.74697,1.218003,0.098757,0.03014,0.00041,40.889691,4.539177,0.48,0.02,0.42,0.02,3910.0,49.0
K2-83 c,,,9.99767,1.448436,0.098757,0.07131,0.00096,7.304651,0.81039,0.48,0.02,0.42,0.02,3910.0,49.0
K2-125 b,,,21.750264,2.128762,0.186541,0.121,0.005,1.756069,0.345667,0.49,0.06,0.4,0.03,3654.47,99.56
Kepler-732 b,,,9.467814,2.128762,0.153622,0.069056,0.001409,6.948793,0.986878,0.49,0.03,0.46,0.03,3631.0,37.03
Kepler-732 c,,,0.893041,1.239949,0.098757,0.014309,0.000292,161.837929,22.984455,0.49,0.03,0.46,0.03,3631.0,37.03
K2-45 b,,,1.729268,6.572827,0.0,0.0224,0.0012,103.045675,35.091273,0.5,0.08,0.45,0.07,4103.0,90.0
Kepler-1624 b,,,3.290305,5.585257,0.449893,0.034365,0.000687,29.454307,4.379387,0.5,0.04,0.47,0.04,3636.0,58.98
K2-49 b,,,2.77065,1.887356,0.515731,0.0309,0.0029,58.053539,33.263884,0.51,0.14,0.45,0.12,4175.0,97.0
Kepler-1049 b,,,3.273461,0.932705,0.153622,0.034475,0.000676,40.572963,5.507275,0.51,0.03,0.49,0.03,3864.0,42.03
Kepler-617 b,,,1.682696,1.294814,0.065838,0.022122,0.000289,80.527773,7.624228,0.51,0.03,0.48,0.03,3712.0,33.92
Kepler-676 b,,,11.598222,2.973683,0.32919,0.080123,0.001047,6.321967,0.604812,0.51,0.03,0.49,0.03,3701.0,40.14
Kepler-737 b,,,28.599154,1.920275,0.10973,0.146239,0.002867,2.051718,0.282327,0.51,0.03,0.48,0.03,3813.0,40.13
K2-251 b,,,9.30075,2.30433,0.252379,0.0694,0.0005,8.573106,0.867565,0.52,0.01,0.49,0.01,3717.0,85.0
K2-257 b,,,1.60588,0.812002,0.054865,0.0216,0.0002,92.946347,8.974394,0.52,0.01,0.5,0.01,3725.0,80.0
Kepler-1089 b,,,5.132486,1.788599,0.32919,0.04683,0.000901,19.568292,2.600747,0.52,0.03,0.49,0.03,3753.0,32.55
Kepler-138 b,,,10.3126,0.515731,0.032919,0.074568,0.002868,6.827712,0.884591,0.52,0.06,0.44,0.02,3841.0,49.0
Kepler-138 c,,,13.7813,1.174111,0.065838,0.090469,0.00348,4.638517,0.600961,0.52,0.06,0.44,0.02,3841.0,49.0
Kepler-138 d,,,23.0881,1.185084,0.076811,0.127614,0.004908,2.331212,0.302029,0.52,0.06,0.44,0.02,3841.0,49.0
Kepler-1651 b,,,9.878639,1.799572,0.10973,0.072461,0.001393,8.153182,1.1429,0.52,0.03,0.5,0.03,3713.0,57.0
Kepler-974 b,,,4.194497,1.53622,0.285298,0.040935,0.000525,24.839505,2.334397,0.52,0.02,0.5,0.02,3687.0,38.83
Kepler-691 b,,,8.114379,2.040978,0.087784,0.063959,0.000805,10.487453,0.975496,0.53,0.02,0.5,0.02,3715.0,37.37
Kepler-705 b,,,56.056054,2.062924,0.098757,0.231995,0.002918,0.835573,0.047322,0.53,0.02,0.51,0.02,3722.0,32.88
GJ 3470 b,,,3.33665,4.476984,0.175568,0.0355,0.0019,36.322304,6.195373,0.54,0.05,0.55,0.02,3600.0,100.0
K2-117 b,,,1.2916,1.986113,0.098757,0.0189,0.0001,133.647017,9.258053,0.54,0.01,0.51,0.01,3778.0,53.0
K2-117 c,,,5.444017,2.019032,0.120703,0.0492,0.0003,19.722078,1.371416,0.54,0.01,0.51,0.01,3778.0,53.0
Kepler-1229 b,,,86.828989,1.371625,0.131676,0.312521,0.005787,0.491906,0.063951,0.54,0.04,0.51,0.03,3784.0,38.88
Kepler-1321 b,,,11.128305,4.817147,0.592542,0.079443,0.003433,11.264907,2.908704,0.54,0.07,0.53,0.06,4094.0,91.2
Kepler-1321 c,,,2.226491,2.348222,0.296271,0.027176,0.001174,96.265728,24.856707,0.54,0.07,0.53,0.06,4094.0,91.2
Kepler-186 b,,,3.886791,1.042435,0.120703,0.0343,0.0046,41.167351,12.146214,0.54,0.02,0.52,0.02,3755.0,90.0
Kepler-186 c,,,7.267302,1.228976,0.131676,0.0451,0.007,23.811573,7.949999,0.54,0.02,0.52,0.02,3755.0,90.0
Kepler-186 d,,,13.342996,1.371625,0.153622,0.0781,0.01,7.94034,2.255484,0.54,0.02,0.52,0.02,3755.0,90.0
Kepler-186 e,,,22.407704,1.239949,0.142649,0.11,0.015,4.002725,1.197402,0.54,0.02,0.52,0.02,3755.0,90.0
Kepler-186 f,,,129.9441,1.141192,0.076811,0.432,0.171,0.259522,0.207916,0.54,0.02,0.52,0.02,3755.0,90.0
Kepler-26 b,,,12.28,2.721304,0.10973,0.084834,0.001571,7.641566,1.141471,0.54,0.03,0.51,0.02,3914.0,119.0
Kepler-26 c,,,17.2559,2.666439,0.120703,0.106429,0.001971,4.855084,0.725236,0.54,0.03,0.51,0.02,3914.0,119.0
Kepler-26 d,,,3.543919,1.042435,0.054865,0.037047,0.000686,40.068382,5.985278,0.54,0.03,0.51,0.02,3914.0,119.0
Kepler-26 e,,,46.827915,2.359195,0.142649,0.207064,0.003835,1.282647,0.191597,0.54,0.03,0.51,0.02,3914.0,119.0
Kepler-438 b,,,35.23319,1.0973,0.21946,0.166,0.051,1.744551,1.124545,0.54,0.06,0.52,0.06,3748.0,112.0
K2-153 b,,,7.51574,1.953194,0.208487,0.0614,0.0004,14.672195,0.81366,0.55,0.01,0.53,0.01,3845.0,37.0
K2-69 b,,,7.06599,2.271411,0.351136,0.0591,0.0025,17.965933,6.293274,0.55,0.07,0.49,0.07,4127.0,190.0
Kepler-1152 b,,,1.646802,0.855894,0.054865,0.022362,0.000542,124.951586,16.465941,0.55,0.04,0.53,0.03,3964.0,46.47
Kepler-1350 b,,,4.49686,2.468925,0.241406,0.043688,0.000794,28.441357,3.641379,0.55,0.05,0.53,0.05,3827.0,59.63
Kepler-1350 c,,,1.766789,1.689842,0.175568,0.023436,0.000426,98.836325,12.654126,0.55,0.05,0.53,0.05,3827.0,59.63
Kepler-505 b,,,27.52198,2.545736,0.10973,0.146177,0.001772,2.828145,0.26381,0.55,0.02,0.53,0.02,3931.0,48.32
Kepler-568 b,,,11.023475,2.216546,0.076811,0.079428,0.000963,8.086264,0.729861,0.55,0.02,0.53,0.02,3768.0,40.66
Kepler-988 b,,,17.760801,2.030005,0.460866,0.109161,0.001323,5.464147,0.49414,0.55,0.02,0.53,0.02,4005.0,43.58
WASP-6 b,,,3.36101,11.30219,1.0973,0.035981,0.003707,327.176868,95.17845,0.55,0.17,0.73,0.07,5450.0,100.0
K2-26 b,,,14.5665,2.611574,0.449893,0.0962,0.0061,5.402749,2.060863,0.56,0.1,0.52,0.08,3785.0,185.0
Kepler-1075 b,,,1.523728,1.393571,0.318217,0.021362,0.000381,141.43164,12.914747,0.56,0.03,0.54,0.03,3959.0,39.29
Kepler-1319 b,,,2.886763,1.31676,0.702272,0.032707,0.000195,43.827764,3.945438,0.56,0.02,0.54,0.02,3655.0,50.09
Kepler-994 b,,,1.151167,1.569139,0.263352,0.01772,0.000316,200.401571,18.287884,0.56,0.03,0.54,0.02,3934.0,38.91
HATS-6 b,,,3.325272,10.951054,0.208487,0.03623,0.00057,42.889052,1.985215,0.57,0.03,0.57,0.01,3724.0,18.0
K2-43 b,,,3.471149,4.411146,0.427947,0.037203,0.002393,41.29733,10.235923,0.57,0.11,0.54,0.05,3840.6,98.8
K2-43 c,,,2.198884,2.370168,0.252379,0.027441,0.001765,75.907245,18.814309,0.57,0.11,0.54,0.05,3840.6,98.8
K2-85 b,,,0.684533,0.98757,0.120703,0.01263,0.00037,487.445432,98.835201,0.57,0.05,0.51,0.04,4268.0,122.0
Kepler-440 b,,,101.11141,1.86541,0.21946,0.242,0.066,1.409035,0.810904,0.57,0.05,0.56,0.05,4134.0,154.0
Kepler-441 b,,,207.2482,1.64595,0.21946,0.64,0.32,0.236058,0.241631,0.57,0.05,0.55,0.05,4340.0,177.0
Kepler-993 b,,,22.085576,2.907845,0.175568,0.127742,0.001494,3.511505,0.328658,0.57,0.02,0.54,0.02,3843.0,50.16
HAT-P-23 b,,,1.21288,11.96057,2.52379,0.018563,0.004054,2929.53501,1775.515716,0.58,0.38,0.96,0.2,5905.0,80.0
K2-147 b,,,0.961917,1.349679,0.164595,0.0159,0.0005,195.991181,46.945237,0.58,0.06,0.55,0.06,3672.0,70.0
K2-240 b,,,6.034,1.953194,0.197514,0.0513,0.0009,21.035237,1.13696,0.58,0.01,0.54,0.01,3810.0,17.0
K2-240 c,,,20.523,1.766653,0.296271,0.1159,0.002,4.12112,0.221216,0.58,0.01,0.54,0.01,3810.0,17.0
Kepler-32 b,,,5.90124,2.150708,0.197514,0.053302,0.001532,20.607226,5.3802,0.58,0.05,0.53,0.04,3900.0,200.0
Kepler-32 c,,,8.7522,1.953194,0.197514,0.06932,0.001992,12.183935,3.181021,0.58,0.05,0.53,0.04,3900.0,200.0
Kepler-32 d,,,22.7802,2.644493,0.197514,0.131165,0.003769,3.403041,0.888477,0.58,0.05,0.53,0.04,3900.0,200.0
Kepler-32 e,,,2.896,1.470382,0.098757,0.033162,0.000953,53.236867,13.899251,0.58,0.05,0.53,0.04,3900.0,200.0
Kepler-32 f,,,0.74296,0.801029,0.065838,0.013389,0.000385,326.580304,85.26463,0.58,0.05,0.53,0.04,3900.0,200.0
Kepler-777 b,,,5.728126,1.437463,0.076811,0.052254,0.000601,27.646575,2.298815,0.58,0.03,0.56,0.02,4043.0,36.21
WASP-80 b,,,3.067852,10.962027,0.340163,0.0344,0.0011,78.080319,9.83514,0.58,0.05,0.59,0.02,4143.0,94.0
XO-3 b,,,3.19154,15.47193,1.31676,0.035382,0.002847,2915.737935,633.936909,0.58,0.14,1.54,0.11,6429.0,50.0
K2-149 b,,,11.332,1.602058,0.197514,0.083,0.0027,8.357868,1.944784,0.59,0.06,0.57,0.06,3745.0,70.0
Kepler-1009 b,,,11.350119,2.128762,0.263352,0.082907,0.000937,11.199365,0.94402,0.59,0.03,0.57,0.02,4027.0,41.14
Kepler-1161 b,,,10.712525,2.08487,0.493785,0.079772,0.001352,15.049653,1.838267,0.59,0.04,0.57,0.03,4253.0,55.15
Kepler-45 b,,,2.455239,10.53408,1.20703,0.029876,0.001013,65.018685,27.080709,0.59,0.06,0.55,0.11,3820.0,90.0
Kepler-844 b,,,2.613021,1.64595,0.230433,0.031142,0.000528,87.639996,10.45234,0.59,0.04,0.57,0.03,4128.0,46.95
Kepler-901 b,,,3.517494,1.338706,0.065838,0.037967,0.000858,62.228536,7.785507,0.59,0.04,0.57,0.03,4184.0,52.61
K2-22 b,,,0.381078,2.446979,0.395028,0.0088,0.0008,813.343824,241.669362,0.6,0.07,0.57,0.06,3830.0,100.0
K2-3 b,,,10.05449,2.128762,0.296271,0.0769,0.0039,11.007631,3.65814,0.6,0.09,0.56,0.07,3896.0,189.0
K2-3 c,,,24.64354,1.810545,0.263352,0.1399,0.007,3.325915,1.103922,0.6,0.09,0.56,0.07,3896.0,189.0
K2-3 d,,,44.55983,1.481355,0.230433,0.2076,0.0104,1.5104,0.50138,0.6,0.09,0.56,0.07,3896.0,189.0
Kepler-1074 b,,,5.945665,1.228976,0.230433,0.054178,0.000602,25.580498,2.068101,0.6,0.03,0.57,0.02,4002.0,33.56
Kepler-1314 b,,,5.424749,5.003688,0.186541,0.050965,0.000566,37.14292,4.211823,0.6,0.02,0.59,0.02,4188.0,113.71
Kepler-674 b,,,2.243382,1.656923,0.098757,0.028289,0.000629,112.948924,13.639466,0.6,0.04,0.57,0.03,4192.0,42.83
GJ 9827 b,,,1.208982,1.547193,0.032919,0.0188,0.0002,325.56704,17.601508,0.61,0.02,0.6,0.01,4340.0,53.0
GJ 9827 c,,,3.648096,1.218003,0.021946,0.03925,0.00042,74.692468,4.041859,0.61,0.02,0.6,0.01,4340.0,53.0
GJ 9827 d,,,6.20147,1.97514,0.043892,0.05591,0.00059,36.81096,1.987681,0.61,0.02,0.6,0.01,4340.0,53.0
K2-5 b,,,5.73594,1.86541,0.427947,0.0532,0.0038,24.671262,14.456868,0.61,0.13,0.57,0.12,3930.0,375.0
K2-5 c,,,10.93241,2.216546,0.603515,0.0818,0.0059,10.435374,6.118492,0.61,0.13,0.57,0.12,3930.0,375.0
Kepler-442 b,,,112.3053,1.31676,0.21946,0.409,0.209,0.728032,0.748563,0.61,0.03,0.6,0.02,4402.0,100.0
K2-122 b,,,2.219282,1.185084,0.076811,0.0285,0.0002,105.01081,6.037922,0.62,0.01,0.6,0.01,4027.0,45.0
K2-123 b,,,30.951524,2.699358,0.153622,0.1649,0.0008,3.057254,0.190939,0.62,0.01,0.59,0.01,4035.0,52.0
Kepler-1366 b,,,2.164571,1.404544,0.098757,0.027926,0.00045,114.114886,13.917446,0.62,0.04,0.6,0.04,4070.0,63.0
Kepler-1367 b,,,1.57409,0.899786,0.076811,0.022583,0.000364,180.757657,21.386552,0.62,0.05,0.6,0.05,4106.0,57.12
Kepler-1455 b,,,49.276764,2.117789,0.153622,0.224318,0.003618,1.777384,0.215151,0.62,0.04,0.6,0.04,4075.0,61.23
NGTS-1 b,,,2.647298,14.59409,6.69353,0.0326,0.0047,64.770903,26.484494,0.62,0.06,0.57,0.08,3916.0,71.0
K2-152 b,,,32.6479,2.238492,0.241406,0.1716,0.0012,3.044839,0.149215,0.63,0.01,0.61,0.01,4044.0,35.0
K2-90 b,,,13.733314,2.545736,0.098757,0.096,0.001,15.191408,0.978825,0.63,0.02,0.62,0.01,4484.0,58.0
K2-90 c,,,2.900706,1.272868,0.131676,0.035,0.001,114.288996,9.550394,0.63,0.02,0.62,0.01,4484.0,58.0
Kepler-1388 b,,,12.28546,2.534763,0.131676,0.089333,0.000945,11.847251,0.988207,0.63,0.03,0.61,0.03,4098.0,51.9
Kepler-1388 c,,,5.536082,2.216546,0.131676,0.052507,0.000556,34.292795,2.860442,0.63,0.03,0.61,0.03,4098.0,51.9
Kepler-1388 d,,,20.956816,2.798115,0.186541,0.127537,0.00135,5.812627,0.484845,0.63,0.03,0.61,0.03,4098.0,51.9
Kepler-1388 e,,,37.632708,2.403087,0.142649,0.188421,0.001994,2.663088,0.222134,0.63,0.03,0.61,0.03,4098.0,51.9
Kepler-658 b,,,1.287077,1.591085,0.054865,0.019853,0.00021,233.217605,18.604885,0.63,0.03,0.6,0.02,4103.0,39.35
Kepler-913 b,,,10.296725,2.019032,0.076811,0.079412,0.00042,25.654645,1.156844,0.63,0.01,0.61,0.01,4687.0,34.09
K2-286 b,,,27.359,2.051951,0.197514,0.1768,0.0205,2.632175,0.610145,0.64,0.02,0.62,0.02,3926.0,100.0
K2-4 b,,,10.003417,2.051951,0.197514,0.078,0.003,12.499153,3.221943,0.64,0.06,0.57,0.05,4014.73,173.12
Kepler-1203 b,,,0.588001,1.042435,0.054865,0.011838,0.000123,679.267565,39.152294,0.64,0.02,0.61,0.02,4105.0,43.7
Kepler-1456 b,,,18.137383,1.119246,0.142649,0.116434,0.003032,8.186314,1.256103,0.64,0.08,0.62,0.07,4231.0,85.61
Kepler-61 b,,,59.87756,2.106816,0.131676,0.258151,0.005378,1.353124,0.138544,0.64,0.04,0.62,0.05,4017.0,150.0
Kepler-622 b,,,14.282267,2.08487,0.274325,0.099288,0.001551,10.591886,0.901937,0.64,0.03,0.61,0.02,4201.0,46.67
Kepler-833 b,,,18.7547,1.97514,0.120703,0.119061,0.00186,8.659528,0.695471,0.64,0.03,0.62,0.02,4339.0,39.28
Kepler-991 b,,,82.534252,2.490871,0.131676,0.319733,0.004996,1.220195,0.107798,0.64,0.03,0.61,0.02,4392.0,55.21
HAT-P-54 b,,,3.799847,10.358512,0.307244,0.04117,0.00043,75.888232,4.523137,0.65,0.02,0.62,0.01,4390.0,50.0
K2-148 b,,,4.38395,1.305787,0.186541,0.0454,0.0014,48.026277,10.164895,0.65,0.06,0.63,0.06,4079.0,70.0
K2-148 c,,,6.9226,1.689842,0.230433,0.0616,0.0019,26.087304,5.521559,0.65,0.06,0.63,0.06,4079.0,70.0
K2-148 d,,,9.7579,1.602058,0.230433,0.0774,0.0024,16.523754,3.498947,0.65,0.06,0.63,0.06,4079.0,70.0
K2-154 b,,,3.67626,1.953194,0.208487,0.0405,0.0003,61.422801,3.222458,0.65,0.02,0.63,0.01,4097.0,45.0
K2-154 c,,,7.95486,2.030005,0.175568,0.0677,0.0005,21.981753,1.152969,0.65,0.02,0.63,0.01,4097.0,45.0
K2-155 b,,,6.342,1.766653,0.197514,0.0562,0.0014,31.542833,8.029646,0.65,0.06,0.58,0.06,4258.0,150.0
K2-155 c,,,13.85,2.545736,0.680326,0.0946,0.0031,11.132458,2.880652,0.65,0.06,0.58,0.06,4258.0,150.0
K2-155 d,,,40.718,1.86541,0.680326,0.1937,0.0064,2.655303,0.687457,0.65,0.06,0.58,0.06,4258.0,150.0
Kepler-551 b,,,12.376466,2.677412,0.241406,0.090714,0.001396,14.663502,1.15676,0.65,0.03,0.63,0.02,4286.0,37.81
Kepler-787 b,,,0.92831,1.250922,0.065838,0.016134,0.000248,433.251974,35.176937,0.65,0.03,0.62,0.02,4248.0,40.9
Kepler-895 b,,,2.806242,1.503301,0.087784,0.033731,0.000519,102.147121,8.406305,0.65,0.03,0.61,0.02,4315.0,42.14
Kepler-898 b,,,5.870619,1.459409,0.296271,0.055174,0.000849,36.182563,2.972251,0.65,0.03,0.62,0.02,4223.0,42.74
EPIC 211822797 b,,,21.169861,1.942221,0.10973,0.131,0.005,5.050621,0.734071,0.66,0.07,0.57,0.03,4148.21,82.41
K2-156 b,,,0.81314,1.130219,0.098757,0.0149,0.0001,789.419881,43.175372,0.66,0.02,0.66,0.01,4597.0,50.0
